Sl. No.,States &Uts,Civil Judge (Junior Division),Civil Judge (Senior Division),District Judge,Total_Judges,population,per_mil,state_code
1,Andhra Pradesh,254,91,95,440,49386799,9,AD
2,Arunachal Pradesh,7,4,1,12,1383727,9,AR
3,Delhi,166,20,95,281,16787941,17,DL
4,Karnataka,149,120,89,358,61095297,6,KA
5,Puducherry,2,0,3,5,1247953,5,PY
6,Rajasthan,260,121,126,507,68548437,8,RJ
7,Tamilnadu,216,100,112,428,72147030,6,TN
8,Nagaland,6,2,7,15,1978502,8,NL
9,Telangana,254,91,95,440,49386799,9,TL
10,Daman and Diu and Dadra and Nagar Haveli,0,0,0,0,343709,0,DNHDD
12,Goa,15,8,5,28,1458545,20,GA
13,Maharashtra,346,139,112,597,112374333,6,MH
14,Sikkim,0,0,0,0,610577,0,SK
15,Meghalaya,14,9,9,32,2966889,11,ML
16,Manipur,5,10,4,19,2855794,7,MN
17,Mizoram,13,2,6,21,1097206,20,MZ
18,Assam,120,61,21,202,31205576,7,AS
19,Bihar,256,33,38,327,104099452,4,BR
20,Chandigarh,7,0,4,11,1055450,11,CH
21,Chhattishgarh,99,40,44,183,25545198,8,CG
22,Gujarat,104,74,50,228,60439692,4,GJ
23,Haryana,70,59,52,181,25351462,8,HR
24,Himachal Pradesh,36,11,8,55,6864602,9,HP
25,Jammu and Kashmir,37,24,8,69,12267013,6,JK
26,Kerala,125,39,42,206,33406061,7,KL
27,Ladakh,1,2,0,3,274289,11,LA
28,Lakshadweep,0,0,0,0,64473,0,LD
29,Madhya Pradesh,300,133,103,536,72626809,8,MP
30,Odisha,185,114,45,344,41974218,9,OD
31,Punjab,156,59,60,275,27743338,10,PB
32,Tripura,20,14,4,38,3673917,11,TR
33,Uttar Pradesh,404,170,220,794,199812341,4,UP
34,Uttarakhand,51,33,22,106,10086292,11,UK
35,Jharkhand,85,39,10,134,32988134,5,JH
36,Andaman & Nicobar,0,0,0,0,380581,0,AN
37,West Bengal,210,80,40,330,91276115,4,WB
Total,Total,3719,1611,1435,6765,,,TO
