,Districts,Mean Cases
0,Nayagarh,6471
1,Dharmapuri,6522
2,Dakshin Bastar Dantewada,5924
3,Paschim Bardhaman,15926
4,Sultanpur,4919
5,Vellore,20521
6,Sawai Madhopur,2115
7,Malda,12582
8,Puri,14167
9,Shi Yomi,104
10,Lunglei,407
11,Shimla,10262
12,Shivpuri,3598
13,Sonipat,14695
14,Kanpur Dehat,2113
15,Kaushambi,2266
16,Bokaro,6623
17,Lakhimpur Kheri,7608
18,Churachandpur,0
19,Dehradun,28524
20,Saran,7302
21,Railway Quarantine,428
22,Kasaragod,25272
23,Kohima,3752
24,Bankura,11639
25,Namsai,430
26,Howrah,35192
27,Kolar,9898
28,Dhalai,3473
29,Hathras,1299
30,Mahisagar,1984
31,Pathankot,5809
32,Aurangabad,26152
33,Chittorgarh,3872
34,Ganderbal,4558
35,Karaikal,3839
36,Kargil,2102
37,Shamli,3613
38,Yadgir,10634
39,Kalaburagi,21368
40,Giridih,3422
41,Narayanpur,1931
42,Virudhunagar,16483
43,Morena,3221
44,Raisen,2427
45,Dewas,2866
46,Bulandshahr,6187
47,Koriya,5073
48,Dhenkanal,5704
49,Lucknow,80344
50,Kabeerdham,5723
51,Moradabad,11804
52,Tirap,587
53,Jagatsinghpur,9116
54,Wardha,10175
55,Deoghar,3643
56,Patan,4205
57,Pulwama,5660
58,Srinagar,25792
59,State Pool,8357
60,Lepa Rada,284
61,Visakhapatnam,59505
62,Nilgiris,8093
63,Airport Quarantine,1968
64,Samba,2809
65,Kurung Kumey,117
66,Akola,11223
67,Jalgaon,56872
68,Diu,312
69,Chandauli,4810
70,Kolhapur,48990
71,Mahe,1916
72,Bhadohi,2227
73,Fatehpur,3810
74,Bilaspur,11032
75,Koppal,13912
76,Unokoti,2767
77,Idukki,19956
78,Gariaband,4127
79,Garhwa,2814
80,Charkhi Dadri,1513
81,Saitual,29
82,Ajmer,16838
83,Moga,2773
84,Krishna,48291
85,Nashik,118649
86,Sirmaur,3322
87,Jaipur,58317
88,Khowai,1838
89,Satna,3402
90,Sagar,5242
91,Sahibganj,1637
92,Ballia,7852
93,Dausa,2417
94,Kurnool,60710
95,Kullu,4395
96,Hardoi,5881
97,Jind,4835
98,Thanjavur,17477
99,Chitrakoot,2177
100,Ratnagiri,11342
101,Mayurbhanj,14026
102,West Jaintia Hills,502
103,Ramgarh,4507
104,Saharanpur,9968
105,Gadag,10955
106,Agra,10400
107,Tikamgarh,1289
108,Betul,3423
109,Ramban,2123
110,Madhubani,7673
111,Chandigarh,20452
112,Deogarh,1302
113,Cuddalore,24831
