,Districts,Mean Cases
0,Nayagarh,6603
1,Dharmapuri,7004
2,Dakshin Bastar Dantewada,6328
3,Paschim Bardhaman,17942
4,Sultanpur,5849
5,Vellore,21797
6,Sawai Madhopur,2618
7,Malda,13739
8,Puri,14907
9,Shi Yomi,104
10,Lunglei,423
11,Shimla,11142
12,Shivpuri,4169
13,Sonipat,16575
14,Kanpur Dehat,2431
15,Kaushambi,2476
16,Bokaro,7344
17,Lakhimpur Kheri,8634
18,Churachandpur,0
19,Dehradun,33724
20,Saran,8246
21,Railway Quarantine,428
22,Kasaragod,32136
23,Kohima,3953
24,Bankura,12333
25,Namsai,437
26,Howrah,37918
27,Kolar,10993
28,Dhalai,3482
29,Hathras,1371
30,Mahisagar,2498
31,Pathankot,6645
32,Aurangabad,27988
33,Chittorgarh,4843
34,Ganderbal,4763
35,Karaikal,4524
36,Kargil,2170
37,Shamli,4026
38,Yadgir,11062
39,Kalaburagi,24666
40,Giridih,3580
41,Narayanpur,2036
42,Virudhunagar,17062
43,Morena,3551
44,Raisen,3049
45,Dewas,3394
46,Bulandshahr,6876
47,Koriya,6558
48,Dhenkanal,5764
49,Lucknow,100471
50,Kabeerdham,7577
51,Moradabad,13248
52,Tirap,591
53,Jagatsinghpur,9268
54,Wardha,19786
55,Deoghar,4136
56,Patan,4932
57,Pulwama,6026
58,Srinagar,29661
59,State Pool,8820
60,Lepa Rada,288
61,Visakhapatnam,62845
62,Nilgiris,8647
63,Airport Quarantine,2017
64,Samba,2925
65,Kurung Kumey,117
66,Akola,23239
67,Jalgaon,78212
68,Diu,347
69,Chandauli,5791
70,Kolhapur,52109
71,Mahe,2330
72,Bhadohi,2723
73,Fatehpur,4097
74,Bilaspur,11840
75,Koppal,14305
76,Unokoti,2772
77,Idukki,29379
78,Gariaband,6127
79,Garhwa,3000
80,Charkhi Dadri,1620
81,Saitual,32
82,Ajmer,18613
83,Moga,3456
84,Krishna,51012
85,Nashik,171175
86,Sirmaur,4065
87,Jaipur,65740
88,Khowai,1847
89,Satna,4122
90,Sagar,6447
91,Sahibganj,1970
92,Ballia,8993
93,Dausa,2786
94,Kurnool,62850
95,Kullu,4652
96,Hardoi,6485
97,Jind,5958
98,Thanjavur,19599
99,Chitrakoot,2548
100,Ratnagiri,13551
101,Mayurbhanj,14544
102,West Jaintia Hills,567
103,Ramgarh,5057
104,Saharanpur,10916
105,Gadag,11249
106,Agra,11658
107,Tikamgarh,1780
108,Betul,4804
109,Ramban,2182
110,Madhubani,8050
111,Chandigarh,26300
112,Deogarh,1441
113,Cuddalore,25966
114,Bandipora,4812
115,Y.S.R. Kadapa,56385
116,Farrukhabad,5091
117,Bhagalpur,10778
118,Kolasib,304
119,Barmer,5376
120,East Champaran,8859
121,Khagaria,3352
122,Panna,1585
123,Sabarkantha,3484
124,Kamle,30
125,Mumbai,409170
126,Kandhamal,6004
127,Sangrur,5414
128,Mahasamund,11806
129,Alirajpur,1571
130,Supaul,5922
131,West Khasi Hills,185
132,Satara,66642
133,Azamgarh,6831
134,Chittoor,91924
135,Kra Daadi,37
136,Balod,11483
137,Mamit,86
