date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
1/31/2021,,,,,20.76,,North and Middle Andaman
4/30/2021,,,,,16.09859155,,North and Middle Andaman
7/31/2021,,,,,12.05479452,,North and Middle Andaman
10/31/2021,,,,,37.29166667,,North and Middle Andaman
1/31/2022,,,,,44.39130435,,North and Middle Andaman
1/31/2021,12.87096774,,-21.51612903,39.38709677,17.38709677,11.5483871,South Andaman
4/30/2021,19.15730337,,-16.80898876,43.14606742,16.19101124,11.40449438,South Andaman
7/31/2021,-10.16304348,,-36.55434783,8.02173913,-3.902173913,21.01086957,South Andaman
10/31/2021,33.01086957,,-9.543478261,42.27173913,17.15217391,11.45652174,South Andaman
1/31/2022,66.54098361,,13.09836066,65.42622951,26.24590164,10.52459016,South Andaman
1/31/2021,-22.90322581,64.93548387,14.12903226,-9.032258065,-7.806451613,11.87096774,Anantapuram
4/30/2021,-21.5505618,68.76404494,6.08988764,-8.426966292,-6.741573034,11.56179775,Anantapuram
7/31/2021,-29.20652174,61.40217391,10.44565217,-15.97826087,-14.27173913,15.79347826,Anantapuram
10/31/2021,-12.63043478,88.69565217,22.04347826,2.456521739,-5.413043478,11.15217391,Anantapuram
1/31/2022,-9.803278689,89.1147541,26.13114754,5.93442623,-1.508196721,11.62295082,Anantapuram
1/31/2021,-19.29032258,34.22580645,-4.580645161,-19.25806452,-12.35483871,12.22580645,Chittoor
4/30/2021,-18.98876404,37.16853933,-13.37078652,-17.85393258,-9.011235955,12.82022472,Chittoor
7/31/2021,-29.85869565,27.47826087,-17.08695652,-31.0326087,-17.83695652,16.51086957,Chittoor
10/31/2021,-10.13043478,51.10869565,-2.565217391,-14.16304348,-7.282608696,11.77173913,Chittoor
1/31/2022,-9.344262295,52.54098361,-2.950819672,-11.8852459,-3.37704918,12.81967213,Chittoor
1/31/2021,-10.38709677,26.22580645,-18.09677419,-3.64516129,-13.19354839,7.838709677,East Godavari
4/30/2021,-13.30337079,26.08988764,-25,-8.651685393,-9.258426966,8.449438202,East Godavari
7/31/2021,-26.23913043,18.40217391,-32.13043478,-19.29347826,-17.94565217,13.41304348,East Godavari
10/31/2021,-2.347826087,39.67391304,-18.15217391,-0.684782609,-7.597826087,7.554347826,East Godavari
1/31/2022,4.721311475,46.57377049,-16.01639344,5.590163934,-0.114754098,7.081967213,East Godavari
1/31/2021,-17,23.29032258,-21.5483871,-8.838709677,-10.77419355,9.129032258,Guntur
4/30/2021,-17.64044944,26.53932584,-20.41573034,-11.78651685,-9.831460674,9.078651685,Guntur
7/31/2021,-26.89130435,19.90217391,-21.65217391,-20.16304348,-17.80434783,12.29347826,Guntur
10/31/2021,-7.782608696,38.5,-9.315217391,-5.097826087,-7.739130435,7.565217391,Guntur
1/31/2022,-2.540983607,46.06557377,-4.983606557,1.540983607,-0.655737705,7.426229508,Guntur
1/31/2021,-21.61290323,19.61290323,-18.5483871,-15.25806452,-16.38709677,9.612903226,Krishna
4/30/2021,-21.2247191,22.39325843,-27.37078652,-14.71910112,-13.78651685,9.865168539,Krishna
7/31/2021,-34.5326087,12.88043478,-31.31521739,-26.23913043,-22.98913043,14.38043478,Krishna
10/31/2021,-14.97826087,32.89130435,-11.84782609,-6.413043478,-12.83695652,8.673913043,Krishna
1/31/2022,-9.557377049,37.8852459,-3.131147541,-0.131147541,-5.737704918,7.803278689,Krishna
1/31/2021,-11,26.96774194,-5.548387097,-7.096774194,-7.096774194,10.93548387,Kurnool
4/30/2021,-9.91011236,36.20224719,-7.887640449,-6.393258427,-6.134831461,10.61797753,Kurnool
7/31/2021,-19.08695652,36.14130435,-12.06521739,-15.08695652,-11.57608696,13.90217391,Kurnool
10/31/2021,-4.380434783,54.01086957,0.543478261,0.043478261,-3.054347826,9.717391304,Kurnool
1/31/2022,0.754098361,55.57377049,4.147540984,3.885245902,3.229508197,9.819672131,Kurnool
1/31/2021,-10.35483871,46.06451613,13.77419355,5.064516129,-0.064516129,11.03225806,Prakasam
4/30/2021,-11.88764045,43.51685393,2.325842697,2.438202247,1.528089888,10.56179775,Prakasam
7/31/2021,-18.40217391,33.59782609,8.576086957,-7.989130435,-5.782608696,14.14130435,Prakasam
10/31/2021,0.586956522,53.7826087,25.94565217,3.836956522,2.206521739,9.869565217,Prakasam
1/31/2022,3.885245902,61.29508197,24.54098361,4.639344262,8.655737705,10.03278689,Prakasam
1/31/2021,-17.25806452,41.80645161,-24.03225806,-11.83870968,-8.967741935,10.16129032,Sri Potti Sriramulu Nellore District
4/30/2021,-16.4494382,45.51685393,-25.49438202,-10.3258427,-5.528089888,9.943820225,Sri Potti Sriramulu Nellore District
7/31/2021,-24.5326087,41.5,-27.93478261,-16.64130435,-11.16304348,13.72826087,Sri Potti Sriramulu Nellore District
10/31/2021,-8.032608696,59.45652174,-13.79347826,-1.22826087,-1.065217391,9.195652174,Sri Potti Sriramulu Nellore District
1/31/2022,-6.032786885,61.18032787,-13.70491803,0.918032787,2.983606557,9.967213115,Sri Potti Sriramulu Nellore District
1/31/2021,-12.25806452,18.12903226,-7.129032258,1.258064516,-10.67741935,10.03225806,Srikakulam
4/30/2021,-18.19101124,15.01123596,-17.41573034,-5.382022472,-7.842696629,11.1011236,Srikakulam
7/31/2021,-25.34782609,10.98913043,-18.30434783,-18.01086957,-17.01086957,15.2173913,Srikakulam
10/31/2021,-3.326086957,27,-3.77173913,-5.02173913,-7.402173913,10.02173913,Srikakulam
1/31/2022,0.803278689,31.7704918,1.721311475,-1.213114754,2.327868852,9.491803279,Srikakulam
1/31/2021,-19.5483871,10.03225806,-24.16129032,-10.80645161,-20.29032258,9.741935484,Vishakhapatnam
4/30/2021,-19.3258427,15.14606742,-32.19101124,-8.471910112,-16.11235955,11.28089888,Vishakhapatnam
7/31/2021,-33.60869565,3.423913043,-43.35869565,-20.29347826,-25.98913043,16.07608696,Vishakhapatnam
10/31/2021,-11.94565217,22.32608696,-29.92391304,0.97826087,-16.20652174,10.25,Vishakhapatnam
1/31/2022,-4.295081967,27.06557377,-20.7704918,10.98360656,-7.868852459,8.754098361,Vishakhapatnam
1/31/2021,-14.16129032,20.25806452,-12.67741935,-13.06451613,-17.41935484,10.32258065,Vizianagaram
4/30/2021,-17.73033708,28.41573034,-16.47191011,-18.46067416,-13.35955056,11.26966292,Vizianagaram
7/31/2021,-26.7826087,25.05434783,-21.86956522,-29.43478261,-22.14130435,15.34782609,Vizianagaram
10/31/2021,-7.315217391,43.36956522,-9.695652174,-15.2173913,-13.67391304,10.22826087,Vizianagaram
1/31/2022,-2.098360656,56.32786885,-7.278688525,-3.967213115,-4.360655738,9.393442623,Vizianagaram
1/31/2021,-15.51612903,34.29032258,11.90322581,-7.903225806,-9.774193548,7.967741935,West Godavari
