,date,retail and recreation,grocery and pharmacy,parks,transit,workplaces,residential,sub region
0,1/31/2021,,,,,20.76,,North and Middle Andaman
1,1/31/2021,12.87096774,,-21.51612903,39.38709677,17.38709677,11.5483871,South Andaman
2,1/31/2021,-22.90322581,64.93548387,14.12903226,-9.032258065,-7.806451613,11.87096774,Anantapuram
3,1/31/2021,-19.29032258,34.22580645,-4.580645161,-19.25806452,-12.35483871,12.22580645,Chittoor
4,1/31/2021,-10.38709677,26.22580645,-18.09677419,-3.64516129,-13.19354839,7.838709677,East Godavari
5,1/31/2021,-17.0,23.29032258,-21.5483871,-8.838709677,-10.77419355,9.129032258,Guntur
6,1/31/2021,-21.61290323,19.61290323,-18.5483871,-15.25806452,-16.38709677,9.612903226,Krishna
7,1/31/2021,-11.0,26.96774194,-5.548387097,-7.096774194,-7.096774194,10.93548387,Kurnool
8,1/31/2021,-10.35483871,46.06451613,13.77419355,5.064516129,-0.064516129,11.03225806,Prakasam
9,1/31/2021,-17.25806452,41.80645161,-24.03225806,-11.83870968,-8.967741935,10.16129032,Sri Potti Sriramulu Nellore District
10,1/31/2021,-12.25806452,18.12903226,-7.129032258,1.258064516,-10.67741935,10.03225806,Srikakulam
11,1/31/2021,-19.5483871,10.03225806,-24.16129032,-10.80645161,-20.29032258,9.741935484,Vishakhapatnam
12,1/31/2021,-14.16129032,20.25806452,-12.67741935,-13.06451613,-17.41935484,10.32258065,Vizianagaram
13,1/31/2021,-15.51612903,34.29032258,11.90322581,-7.903225806,-9.774193548,7.967741935,West Godavari
14,1/31/2021,-14.38709677,54.25806452,32.90322581,-0.548387097,-5.451612903,9.096774194,YSR District
15,1/31/2021,,,-7.64516129,,-38.74193548,,East Kameng
16,1/31/2021,-53.44827586,-6.0,,-61.8,-17.61290323,7.75,East Siang
17,1/31/2021,-31.96774194,40.19354839,6.64516129,8.967741935,-21.41935484,11.64516129,Papum Pare
18,1/31/2021,,,,,-37.25806452,,Tawang
19,1/31/2021,-39.47826087,,,,-37.70967742,2.6,West Kameng
20,1/31/2021,-0.838709677,16.70967742,-17.96774194,-13.77419355,-14.25806452,13.09677419,Baksa
21,1/31/2021,-12.93548387,25.96774194,20.64516129,-18.80645161,-0.290322581,10.83870968,Barpeta
22,1/31/2021,-15.64516129,9.741935484,47.5483871,-14.09677419,-4.387096774,12.0,Bongaigaon
23,1/31/2021,-13.90322581,-1.903225806,31.35483871,-11.83870968,-14.90322581,11.87096774,Cachar
24,1/31/2021,-24.61290323,0.935483871,3.387096774,-18.16129032,-10.87096774,10.87096774,Chirang
25,1/31/2021,-20.48387097,32.96774194,58.70967742,12.25806452,-17.22580645,15.22580645,Darrang
26,1/31/2021,11.51612903,19.58064516,4.548387097,-9.580645161,-12.80645161,6.774193548,Dhemaji
27,1/31/2021,-4.0,4.35483871,0.870967742,-3.161290323,-7.806451613,12.51612903,Dhubri
28,1/31/2021,-15.25806452,15.51612903,0.612903226,-9.129032258,-6.483870968,10.80645161,Dibrugarh
