District,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,Mean Vaccination
Nicobars,745.0,745,745,745.0,745.0,746,746,809,828,923,923,989.0,989,1004,1004,1030,857.0
North and Middle Andaman,1496.0,1496,1496,1496.0,1496.0,1597,1758,1793,1793,1831,1831,1831.0,1886,1886,1922,2080,1730.0
South Andaman,6028.0,6028,5719,5986.0,6125.0,6207,7193,8092,9777,10297,10297,10432.0,10579,10674,10683,10684,8425.0
Anantapur,20781.0,20781,20745,21005.0,21301.0,21859,22488,22766,22796,25439,28800,31251.0,32201,32750,33303,33303,25723.0
Chittoor,26285.0,26294,24319,25642.0,26873.0,28306,30695,32585,32953,33952,34071,35106.0,35809,42087,44799,47304,32942.0
East Godavari,23819.0,23833,23806,24086.0,24167.0,24299,25692,26756,27591,30977,34133,39803.0,41112,42908,43512,43523,31251.0
Guntur,25859.0,25859,25688,25936.0,26583.0,26730,27330,27987,29444,35564,36176,37400.0,38619,40285,42372,42644,32155.0
Krishna,31419.0,31330,29232,30849.0,31381.0,32787,35277,36598,37193,38729,39510,44846.0,46933,48047,49468,49625,38326.0
Kurnool,18219.0,18220,18217,18520.0,19337.0,19898,20537,21376,21430,22360,23409,24754.0,28365,30923,32156,32846,23160.0
Prakasam,13015.0,13015,12912,13343.0,14032.0,14641,15016,15304,15534,16242,18331,20241.0,20930,21321,23248,23248,16898.0
S.P.S. Nellore,16944.0,16944,16816,17301.0,18342.0,20518,21451,22115,22852,25019,25455,30334.0,32537,33468,34559,34559,24326.0
Srikakulam,16335.0,16335,16302,16599.0,16790.0,17242,17555,17872,17907,26017,27168,27932.0,28575,28946,29296,29322,21887.0
Visakhapatnam,41378.0,41491,41309,42785.0,43285.0,43885,45078,45744,45756,47328,50213,53404.0,55710,56803,57563,57680,48088.0
Vizianagaram,9997.0,9997,9790,10286.0,10559.0,10800,11099,11808,12084,13453,14074,14660.0,14929,15214,15883,17241,12617.0
West Godavari,16906.0,16906,16956,18000.0,18716.0,19085,19488,19861,20724,21479,21655,28062.0,29804,30393,30932,30932,22494.0
Y.S.R. Kadapa,16066.0,16066,16122,16279.0,17086.0,18684,19403,19755,20856,22335,22364,23070.0,23410,23580,24498,29094,20542.0
Anjaw,411.0,410,379,379.0,379.0,449,494,498,519,632,645,664.0,710,713,720,720,545.0
Changlang,4513.0,4513,4532,4532.0,4576.0,4615,4695,4695,4695,4698,4730,4734.0,4913,4937,4938,4938,4703.0
Upper Dibang Valley,136.0,136,136,136.0,136.0,258,258,258,258,331,331,331.0,331,467,467,524,281.0
East Kameng,553.0,553,532,541.0,541.0,541,602,627,627,652,660,709.0,785,836,836,843,652.0
