District,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,Mean Vaccination
Nicobars,1034,1034,1034,1043,1071,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1070,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1118,1118,1171,1171,1171,1171,1171,1183,1220,1236,1236,1236,1236,1307,1311,1457,1636,1642,1642,1906,2029,2029,2093,2262,2262,2262,2347,2358,2154,2155,2225,2231,2345,2552,2933,3242,3682,3907,4340,4641,5042,5640,5812,6269,6511,6695,7017,7171,7370,7540,7727,7803,7850,7956,8051,8072,8096,8126,2734.0
North and Middle Andaman,2080,2080,2080,2080,2080,2147,2147,2147,2147,2147,2147,2148,2148,2148,2148,2148,2269,2268,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2291,2298,2308,2308,2330,2358,2358,2412,2440,2440,2440,2554,2554,2635,2776,2845,2909,2909,3103,3160,3160,3206,3207,3224,3224,3224,3268,3268,3629,3634,3827,3883,4179,4441,5136,5828,6492,7104,7663,9415,12375,15221,17107,19953,22471,24059,25652,26717,27328,27773,28116,28318,28403,28673,28856,29031,29277,29444,7408.0
South Andaman,10684,10684,10706,10867,11000,11104,11183,11183,11183,11183,11183,11285,11354,11354,11421,11440,11556,11281,11674,11674,11674,11674,11674,11674,11674,11674,11674,11674,11674,11949,11968,12099,12224,12390,13187,13467,13643,13834,14092,14335,14496,14550,14720,14721,14949,15115,15215,15373,15379,15535,15747,15777,16029,16168,16273,16273,16273,16428,16480,11652,11770,11946,12563,12975,13452,14562,16293,17524,18852,20009,22516,25596,28793,31859,35117,38469,40521,43006,45085,46203,47920,49358,50675,51612,52661,53547,54291,55044,55923,19748.0
Anantapur,33304,33304,37660,39068,41462,43275,43275,46306,48969,52068,53389,55621,58914,58914,63950,67682,70948,66516,73746,73752,73752,74087,74087,74087,74087,73934,73934,73934,73934,74632,75298,76196,77419,78737,78737,80494,82545,84458,85138,87300,89888,89888,94357,94371,103301,108318,116889,126496,126838,138579,149683,162790,178271,191177,203187,203187,211239,217568,224867,197370,202457,207033,209220,214770,218029,226636,234814,239877,263617,264104,264201,264198,300125,300221,300216,300190,300188,341777,342548,342571,355539,361369,363230,363238,364364,399572,400532,403477,403698,161674.0
Chittoor,47599,47607,49255,51028,53679,56794,57591,60122,62487,66052,68960,72764,78375,79408,83402,87101,93067,87607,98267,98455,99104,99561,99723,99929,100098,94236,94236,94236,94236,96814,98918,100696,103329,106509,106510,109439,112091,115266,115813,119734,123948,123950,131668,131688,147177,156760,166913,177558,177716,190698,202146,214217,230686,242143,253422,253707,256148,265012,274531,250382,257722,264836,268628,274967,278359,287177,296091,298860,315329,320252,325352,325352,382683,384894,385140,385265,385260,385245,409184,409502,413389,433898,442011,442042,467029,475923,479986,483117,496831,204549.0
East Godavari,43533,43533,47624,50931,60580,64507,64520,67527,70994,72996,76050,80652,84539,84539,87707,92696,97297,96280,103332,104017,104348,104348,104350,104350,104350,101401,101401,101401,101401,102674,104011,105493,108615,113655,113658,119798,124948,129621,130030,135624,140722,140722,150883,150924,167375,176298,184551,194793,195161,205060,215190,225681,236877,246471,255958,255995,256912,266293,272600,244819,246847,250385,254066,263550,273082,286575,292320,293487,313351,317651,318898,318893,382145,384491,385365,385743,385734,400457,416119,419581,423967,426580,430295,430314,441809,460576,462370,463294,478496,207855.0
Guntur,42815,42815,44965,46945,48835,52137,52726,55596,58552,60691,62904,69203,76350,77443,85267,94220,103419,94718,109497,113704,113704,113820,113877,113884,113886,108976,108976,108976,108976,110439,111693,113498,114893,117261,117261,119920,122024,124057,125030,127560,130148,130165,134874,134902,143490,149190,154868,162659,163135,170424,177328,184961,197220,203916,214053,214322,218226,224799,230388,195625,202542,208769,213445,220878,225333,236520,249549,259329,272746,279672,281562,281831,335837,340332,340747,340976,341047,348941,363117,368896,373971,393438,402582,402636,432638,441729,443753,445275,461093,188150.0
Krishna,51170,51262,53299,55539,57318,59290,59398,62821,64555,67355,70607,74526,77684,77981,82109,89010,92405,89961,95503,95511,95511,95511,95521,95547,95550,89151,89151,89151,89151,89865,90968,92091,94644,97010,97032,100009,103945,107213,107476,111875,115232,115232,120657,120679,131060,138407,145514,155159,155775,164410,172886,180611,190204,196849,204421,204497,205402,211374,217674,203914,207021,214921,221046,228859,234388,246023,260363,265235,280361,298348,301433,301653,361554,362888,363135,363405,363389,376993,386139,387906,397589,407604,414088,414345,445063,449753,453376,455917,468841,186913.0
Kurnool,32846,32846,35189,37269,38568,39845,40346,41632,43463,46455,48356,51487,53115,53123,59002,65123,68515,68328,72205,72206,72206,72281,72374,72382,72386,72379,72379,72380,72380,72855,73272,73815,74856,76586,76613,78607,80794,83051,83070,85378,87457,87458,92224,92257,101068,106743,112275,118851,119165,128504,140242,150502,162009,169199,178656,178765,184342,189628,197114,170543,174591,181460,186168,195043,200863,212915,228649,231925,248958,257419,257585,257583,290328,292635,292688,292919,293010,303632,305646,306628,312392,322911,330106,330749,336610,351291,356837,360858,366494,150066.0
Prakasam,23248,23248,25993,27694,30203,32236,32314,34906,38379,41713,44938,48386,51319,51681,54747,58259,61112,57448,63240,63330,63330,63330,63330,63332,63345,59219,59219,59219,59219,60602,61529,62257,63231,64595,64603,65947,67589,69503,69868,72500,75286,75286,79480,79519,86885,91191,95656,100776,101020,107179,112215,117613,128237,134602,145562,147357,157387,162809,173597,159080,165142,170378,174524,180097,184455,192690,199437,206098,215261,224818,225553,225605,269432,272922,273065,273132,273130,280738,287283,288583,295390,304307,310527,311716,325249,333264,336897,339158,348627,134364.0
