District,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,03-09-2021,04-09-2021,05-09-2021,06-09-2021,07-09-2021,08-09-2021,09-09-2021,10-09-2021,11-09-2021,12-09-2021,13-09-2021,14-09-2021,15-09-2021,16-09-2021,17-09-2021,18-09-2021,19-09-2021,20-09-2021,21-09-2021,22-09-2021,23-09-2021,24-09-2021,25-09-2021,26-09-2021,27-09-2021,28-09-2021,29-09-2021,30-09-2021,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,Mean Vaccination
Nicobars,29592,29652,29704,29788,29823,29838,29915,29915,29941,29948,29970,30043,30111,30191,30191,30234,30301,30328,30336,30342,30359,30367,30413,30435,30447,30471,30513,30513,30513,30531,30541,30560,30572,30572,30619,30619,30676,30763,30860,31048,31286,31469,31663,31878,32352,32887,33504,36972,37266,37300,37879,38385,38728,38966,39177,39311,39311,39637,39704,40218,40264,40314,40314,40314,40383,40425,40644,41053,41580,42011,42026,42318,42527,42665,42788,42859,43162,43162,43479,43951,43951,44216,44585,44815,44834,45121,45292,45412,45469,45660,45707,45707,36048.0
North and Middle Andaman,91462,91613,91726,91806,91916,91951,91974,91974,92044,92092,92141,93680,95495,97324,97328,97967,98252,98748,98757,98847,99368,99353,100465,101304,102005,102418,102624,103547,103572,104003,104433,104841,105457,105884,106485,106515,107127,107752,108105,108875,109311,109653,110213,110774,111575,112248,112783,114831,115055,115995,116786,118253,119795,120299,120638,120973,120976,121248,121439,121584,121678,121817,121820,121820,123258,124308,125365,126100,126444,126800,126803,127069,128054,128280,129154,129179,130490,130494,131516,132258,132310,134298,135573,136474,136538,137162,137591,137817,138090,138274,138459,138467,113798.0
South Andaman,180313,181461,182712,184135,185275,186388,187381,187460,188658,189947,192699,196015,199217,202481,202715,204181,205619,206840,206925,208648,208922,209084,212041,214952,218109,220376,222486,224952,225225,226247,228279,229879,231156,232137,233242,233298,234480,235807,237459,239280,240470,242259,243889,245575,248186,252560,255377,260336,262631,264347,266948,269505,271457,273118,274570,276254,276344,277614,278665,279778,281000,282111,282160,282213,283648,285034,286375,287306,288226,289197,289327,290338,291265,291821,292496,292535,293463,293472,295076,296417,296501,298029,299400,301038,301240,302822,304646,306080,307510,308690,309953,309984,250823.0
Anantapur,1647681,1692187,1706479,1716102,1723209,1781613,1797241,1804063,1814089,1855968,1867371,1870378,1951617,1961720,1995106,2036230,2074608,2090271,2098261,2099737,2119761,2120076,2136040,2158647,2172758,2221481,2235413,2306772,2320685,2322752,2423246,2471041,2478020,2479516,2480130,2480135,2577065,2579532,2580388,2580584,2580584,2671425,2807458,2866711,2874755,2875777,2876270,2910641,2948347,2948827,2970569,2974374,2978259,3034068,3039062,3041151,3041196,3124044,3131256,3228972,3241579,3286154,3312017,3327308,3378264,3425788,3447049,3457973,3506997,3595300,3614984,3631932,3640445,3718723,3749086,3749616,3772968,3775783,3844275,3873202,3910214,4009586,4042080,4062604,4067852,4105914,4142879,4175790,4216470,4258089,4291613,4301558,2877020.0
Chittoor,1864605,1935556,1949340,1976744,1987553,2061106,2077173,2078059,2100961,2104129,2105139,2105319,2184992,2206455,2206669,2234042,2267989,2300056,2352997,2354623,2392337,2393425,2410706,2424772,2426971,2505155,2522937,2591337,2593742,2655774,2763954,2774228,2777486,2777744,2794962,2795264,2877278,2884860,2885419,2885573,2885601,2980532,3175569,3182963,3184037,3184172,3281416,3418778,3425114,3425336,3534106,3550509,3553583,3573861,3576900,3579812,3580013,3635300,3635663,3690132,3696188,3697814,3784755,3787643,3799046,3802750,3803143,3804345,3859930,3863174,3863669,3880220,4006338,4040424,4074030,4082820,4140154,4141080,4215902,4229462,4240167,4366309,4396455,4439806,4457495,4491568,4517822,4539298,4573252,4609235,4638676,4640860,3218746.0
East Godavari,2201329,2271769,2292557,2299591,2309700,2407633,2415192,2415377,2419724,2423961,2427338,2428594,2475406,2479963,2480166,2488792,2493631,2499163,2502621,2503488,2530474,2530633,2549749,2620632,2645739,2656752,2683515,2762487,2776710,2857927,2874461,2998162,3003561,3005673,3006838,3006940,3108966,3117350,3119828,3121469,3121566,3157289,3343227,3372039,3376572,3381470,3465275,3563784,3570009,3570520,3664792,3685990,3695237,3721549,3725688,3727232,3727283,3892792,3995716,4123719,4237586,4342758,4376072,4376597,4482326,4516586,4540406,4557061,4631990,4708244,4708792,4756165,4784226,4838308,4877557,4877684,4924800,4925080,4997714,5047199,5083196,5144614,5182700,5222963,5262589,5325296,5371428,5409470,5449317,5489138,5522520,5522798,3636835.0
Guntur,2040111,2083397,2095607,2113984,2129433,2195672,2218144,2218523,2238088,2256626,2274289,2281158,2335104,2350976,2351560,2390059,2412793,2427715,2458850,2465142,2476810,2477105,2486148,2510301,2531524,2548554,2555838,2645319,2649930,2684342,2806302,2820382,2836014,2841269,2852097,2852315,2853060,2938482,2942271,2945927,2945970,3006498,3118314,3136911,3150375,3208886,3219145,3288568,3305619,3306071,3361006,3414384,3428963,3461920,3490530,3504162,3627942,3634218,3637827,3753556,3762331,3849492,3897418,3906836,3937639,3944196,3951125,3966123,4082251,4196955,4206200,4252380,4305391,4337274,4389966,4391205,4429187,4445521,4513250,4546802,4601052,4691529,4740762,4811222,4889696,4970940,5044500,5120386,5202964,5268767,5329524,5331891,3368553.0
Krishna,2067094,2082297,2092285,2120287,2144361,2203716,2222678,2226536,2232954,2250582,2259223,2268862,2290031,2313850,2317445,2340789,2359898,2372696,2383057,2388720,2413976,2414601,2451579,2476400,2486647,2510984,2535283,2621659,2644811,2699581,2838066,2840362,2840902,2841929,2856889,2860291,2928587,2932632,2937775,2942251,2942327,2986279,3167839,3202108,3215139,3218571,3218945,3356206,3381467,3381716,3456929,3492990,3516921,3548864,3562353,3575562,3593163,3626476,3672679,3721849,3733117,3793540,3838018,3850964,3877684,3888059,3895520,3938814,3977247,4034486,4049165,4065097,4116194,4153438,4211899,4221343,4241918,4247909,4308180,4332560,4365550,4465038,4504508,4539434,4580391,4618244,4670333,4728611,4783871,4828378,4886143,4886531,3298730.0
Kurnool,1494383,1523762,1535745,1544446,1552406,1557322,1606032,1624314,1640598,1658568,1666801,1669753,1707964,1735320,1737594,1746440,1765388,1807366,1831102,1833308,1863209,1865309,1881933,1895614,1904216,1905749,1948620,2013003,2045881,2047713,2155113,2171746,2176625,2177899,2178882,2179015,2248747,2263441,2266711,2269506,2269630,2339574,2504628,2543586,2560967,2567409,2569023,2634881,2662279,2663186,2670573,2673966,2696871,2729372,2736746,2739437,2739535,2798479,2821642,2901068,2921829,3032239,3058893,3062706,3137950,3159788,3168564,3172355,3262350,3281314,3284618,3341561,3406334,3425639,3446274,3446570,3446596,3446608,3482695,3538151,3582866,3642481,3688723,3711009,3711439,3754766,3816749,3862644,3900313,3925841,3956924,3963178,2593047.0
Prakasam,1543805,1562972,1573471,1581285,1592376,1609252,1628682,1637859,1655447,1692374,1712532,1718345,1731611,1747703,1753718,1767372,1780227,1790102,1800690,1802187,1810204,1814181,1827529,1852529,1862611,1865597,1877662,1967063,1986559,1990099,2103444,2134924,2142965,2146372,2148328,2149280,2199192,2211183,2216988,2221606,2222869,2271029,2368444,2384288,2386297,2386584,2391914,2495617,2511194,2516271,2574051,2634533,2647639,2648056,2650738,2653861,2669012,2702040,2716939,2768576,2784337,2869802,2895648,2902251,2905496,2906806,2908289,2924335,3028290,3105751,3155722,3185319,3203960,3226582,3274804,3282626,3296842,3301680,3365122,3384022,3410382,3509245,3529702,3556342,3574657,3608113,3665602,3709120,3763394,3805069,3833044,3842208,2505705.0
